recall_number,product_description,reason_for_recall,recalling_firm,classification,status,voluntary_mandated,distribution_pattern,code_info,city,state,country,recall_initiation_date,report_date
F-2441-2014,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",Green Walnuts from a tree dropped into spinach as it was being tractored away from the harvested field. Walnuts were discovered on the Dole spinach processing line,Dole Fresh Vegetables Inc,Class I,Terminated,Voluntary: Firm initiated,"One distribution center in AZ and retail stores in AZ, NM and NV.",Bag Code                        Expiration Date  B2311020  9/4/2014   B23110211 9/4/2014  B2311022  9/4/2014  B2311023  9/4/2014  B2311024  9/4/2014  B2311025  9/4/2014.,Monterey,CA,United States,20140827,20140924
F-1182-2015,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,Numbskull LLC,Class I,Terminated,Voluntary: Firm initiated,Washington and Idaho ice cream scoop shops and restaurants.,"All codes manufactured from January 1, 2014 - December 15, 2014. (""MMDD"" and ""XXXX""-Snoqualmie Gourmet Ice Cream Code)",Spokane Valley,WA,United States,20141223,20150218
F-1796-2013,"individual 2 oz chocolate macaroons packaged in plastic wrapper labeled as "" Jennies DUTCH CHOCOLATE MACAROON, 2 oz. Red Mill Farms, Inc., Brooklyn, NY"".",A recall was initiated as a result of an undeclared sugar ingredient in the labeling used for Jennies' Dutch Chocolate Macaroons.,Red Mill Farms,Class II,Terminated,Voluntary: Firm initiated,"PA, GA, NH.",Expiration dates 12/1/13 and 1/13/14.,Moosic,PA,United States,20130320,20130821
F-2473-2016,"1.5 oz PEANUT BUTTER COOKIES, 80/case",Savory Foods Inc. has initiated a voluntary recall due to the potential for contamination with Listeria monocytogenes.,"Savory Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"Domestic: Jackson, MI; Toledo, OH; Grand Rapids, MI; Urbana, OH; Hudsonville, MI; Columbus, OH; Lansdale, PA; and Charlton, MA.    No Foreign or DOD/VA","1.5 oz PEANUT BUTTER COOKIES, 80/case; Product Code/Lot Code: 16033",Grand Rapids,MI,United States,20160211,20161012
F-0091-2013,"SYSCO Imperial	6520795	1/5# FRUIT MIX CHUNKS 3/4""	130249 & 130250	BEST BY 9/15/12 & 9/16/12, UPC# 1007 4865393314.","G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.",G.O. Fresh,Class I,Terminated,Voluntary: Firm initiated,"Minnesota, Iowa, North Dakota and Wisconsin","BEST BY 9/15/12 & 9/16/12,",Minneapolis,MN,United States,20120913,20121017
F-1804-2018,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",Recalled whey powder was used in further production of numerous food products.,Sugar Foods Corporation Inc,Class II,Terminated,Voluntary: Firm initiated,"CA, CO, UT, WA, GA, TX",2280703   Best By 4/3/2019,New York,NY,United States,20180720,20180808
F-1105-2014,"UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.","The finished dietary supplement product was manufactured with ingredients subsequently found to be contaminated with chloramphenicol, an antibiotic, at levels above 0.3 ppb.  The supplier, Specialty Enzymes & Biotechnologies, recalled the raw materials and notified the recipients.  Subsequent private laboratory testing of the finished product revealed levels of chloramphenicol above 0.3 ppb.","Global Health Laboratories, LLC",Class II,Terminated,Voluntary: Firm initiated,New York,Lot Number 1256074,Amityville,NY,United States,20131107,20131225
H-0389-2026,"Shrimp Paste (Klong Kone) 'M' ,  16 oz, 24 count , PLastic Jar,  24 packages/ case",Product tested high for lead.,"GUSTO GROUP, INC.",Class II,Ongoing,Voluntary: Firm initiated,"The recalled product was distributed to the following states: IA, NJ",DPA159  Shrimp Paste (Klong Kone) 'M',Paterson,NJ,United States,20251119,20260121
F-0678-2024,MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,Potential Salmonella Contamination,"TGD Cuts, LLC",Class I,Terminated,Voluntary: Firm initiated,"Distributed in PA, NJ, MD, WV, SC VA, DE, NC, and NY",Use By Start Date: 11/2/2023  Use By End Date: 11/23/2023,Jessup,MD,United States,20231129,20231227
F-1216-2014,"Tuna Salad, Formula PT.60 packaged under these labels:    -Essentail Everyday Tuna Salad packaged in 6/12-oz (UPC 041303820285) carton cases. Distributed by Supervalu Inc., Eden Prairie, MN.    -Reser's Gourmet Tuna Salad packaged in 2/5-lb carton cases.  Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117855067",The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"Distribution was made to AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, VA, WI, WV AND WY.   Distribution was also made to Canada.",Use by dates 10/10/13 - 11/29/13.,Beaverton,OR,United States,20131022,20140101
F-0020-2015,"CST Roma Tomatoes Whole Roma 1/25#  Origin: USA  Keep Refrigerated   UPC: 40000356942  Taylor Farms, Pacific, Tracy, CA 95376","Firm was notified by supplier that specific lots of ""expo fresh"" Roma tomatoes may be contaminated with Salmonella.",Taylor Farms Pacific Inc. (MacArthur Facility),Class I,Terminated,Voluntary: Firm initiated,"California, Arizona, Nevada, Washington",Packed on: 9/5/2014  Packed on: 9/6/2014,Tracy,CA,United States,20140912,20141022
F-1333-2024,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",Potential Salmonella Contamination,Danisco USA Inc.,Class I,Terminated,Voluntary: Firm initiated,"US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",Lot number: 1204607256; 1204607257; 1204607258; 1204607259; 1204607260; 1204607261; 1204607262; 1204607264,New Century,KS,United States,20240503,20240612
F-3116-2017,"A96555, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Newly Weds Foods Inc,Class II,Terminated,Voluntary: Firm initiated,"Nationwide, Mexico, Canada",Product #A96555; Lot #WN012117E,Chicago,IL,United States,20170503,20170726
F-0655-2013,"""Alcapurria Jueyes"" (Crab-filled fritters) - Food Service","Undeclared allergens: wheat, soy, crustacean shellfish (crab), and yellow #5","Fabrica Confecciones Soto, Inc.",Class II,Terminated,Voluntary: Firm initiated,PR only. Product sold by the firm at retail.,none,Canovanas,PR,United States,20120912,20121114
F-1159-2022,"POTATO RUSSET QUARTERED 2/10# (01)10886810715115(10)0016086772 71511 Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Ingredients: Potato, Sodium Metabisulfite",Sodium metabisulfite not declared on product label.,Liberty Fruit Co Inc DBA Carol's Cuts,Class I,Terminated,Voluntary: Firm initiated,"Distributed to food service locations in Kansas, Nebraska, Iowa, and Missouri.","Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Product #: 71511",Kansas City,KS,United States,20220506,20220615
F-1215-2019,"JOY GOL-GAPPA (PANI PURI) MASALA CONCENTRATE, NET WT 8 OZ (228g), UPC: 6 80617 60414 5",Product contains undeclared sulfites.,JOY GOURMET FOODS LLC,Class II,Terminated,Voluntary: Firm initiated,"CT, NY, NJ",0712  7/12/2019,Maspeth,NY,United States,20190225,20190320
F-0456-2018,Dark Chocolate Almond Bark 5oz &1lb Clear plastic tubs,Germack Roasting  is voluntarily recalling its Dark Chocolate Almond Bark following a supplier's recall due to undeclared allergen milk.,NUTCO Inc. dba Germack Pistachio Co.,Class II,Terminated,Voluntary: Firm initiated,"Unknown, firm would not provide a customer list, but identified there were mail order customers in their press release.","Product Codes: 088401520105, 1168, 1398    Best BY Date March 31 , 2018",Detroit,MI,United States,20171030,20171220
F-1065-2013,"POMEGRANATE DRINK  MIX.  Yoruk Prens Nar Net 400 g.  USA Distributor:  Ethnic Int. Holding Inc. 4 Corporate Drive, Cranbury, NJ 08512.  Tel. 609-395-8513.  Picture of pomegranate on label.","Yoruk Prens brand drink mix flavored Apple, Orange, Pomegranate, Cinnamon and Rosehip.  We were informed that these products include some colorants, which are not allowed to use in the USA as per a New York State Department of Agriculture and Markets sample analysis.",Ethnic International Holding Inc,Class II,Terminated,Voluntary: Firm initiated,"Connecticut, Georgia, Massachussets, Maryland, New Jersey, New York, Tennessee and Virginia.",Expiration date 1/04/2013.,Cranbury,NJ,United States,20121227,20130320
F-1928-2016,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",Product manufactured with roasted sunflower kernels which may be contaminated with Listeria monocytogenes.,Nu Life Market LLC,Class I,Terminated,Voluntary: Firm initiated,"Product was distributed to CA, IL, and MI. There was no foreign/military/government distribution.","lot 5225B1, best by 5/13/2016;",Scott City,KS,United States,20160519,20160824
F-0431-2017,"Hot Pepper Cheese, forty-five 40 lb. blocks",Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to inadequate pasteurization.,"Farm Country Cheese House, Inc.",Class II,Terminated,Voluntary: Firm initiated,Domestic: MI,"Made on 09/28/2016, Vat A",Lakeview,MI,United States,20161010,20161123
F-0718-2019,"Cap'n Crunch's Peanut Butter Crunch Cereal packaged in 17.1 ounce and 16.5 ounce cardboard boxes. Distributed by The Quaker Oats Company, Chicago IL",Product tested positive for Salmonella.,"Quaker Manufacturing, LLC",Class I,Terminated,Voluntary: Firm initiated,"Distributed to distribution centers in AR, IA, IL, KS, MO, NE",Lots 110218L and 110318L,Cedar Rapids,IA,United States,20181113,20181219
F-0597-2020,"Rachael's brand and Big Y brand Protein Snack Packs; containing one hard boiled egg, diced roasted turkey, and roasted almonds; packaged in 6x6 plastic containers, Net. wt. 4.25 oz.",Product may be contaminated with Listeria monocytogenes.,Rachael's Food Corporation,Class I,Terminated,Voluntary: Firm initiated,MA,"Production Dates: Dec 27, Dec 29, Dec 30, Jan 1  Rachael s code: 81190701592 and Big Y code: 01889490543",Chicopee,MA,United States,20191231,20200212
F-1039-2023,A53643	BREADER   X1	50.00	BAG,Products may contain Salmonella,"Newly Weds Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"ALABAMA, ARKANSAS, CALIFORNIA, COLORADO, FLORIDA, GEORGIA, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MICHIGAN, MINNESOTA, MISSISSIPPI, MISSOURI, MONTANA, NEBRASKA, NEW JERSEY, NEW YORK, NORTH CAROLINA, OHIO, OKLAHOMA, OREGON, PENNSYLVANIA, TENNESSEE, TEXAS ,WISCONSIN.  CANADA.",SE102922A SE110722A,Chicago,IL,United States,20230526,20230712
F-0801-2025,New England Village Snacks The 19th Hole Snack Mix (5 oz. and 10 oz.),Contains undeclared almonds & undeclared sesame,"Better Business...Better Foods, Inc.",Class II,Ongoing,Voluntary: Firm initiated,NY and New England,UPC (5 oz.): 609465693477 UPC (10 0z.): 642147152459 All codes recalled,Milford,NH,United States,20250423,20250521
F-0459-2023,"Bistro To Go, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated","On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .","FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",Class I,Terminated,Voluntary: Firm initiated,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",UPC Code : 813141021144,Baltimore,MD,United States,20230203,20230322
F-0857-2016,HSRG Cornmeal Breader NET WT 25 LB (11.33 kg),May contain small metal fragments from wire mesh sifter.,"C. H. Guenther & Son, Inc.dba Morrison Milling",Class III,Terminated,Voluntary: Firm initiated,Nationwide throughout the US,All lots,Denton,TX,United States,20151207,20160420
F-1759-2018,"Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix consisting of chocolate chips, fruit, seeds, and nuts.      Product packaged in a cardboard box with a liner bag, net wt. 20 lbs., and was distributed to retailers for sale from their bulk bins.      The product's ingredients statement on the green label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, unsulphured peaches, sunflower seeds, raisins, cranberries (apple juice concentrate, sunflower oil)***"".    The product's ingredients statement on the ivory label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, sunflower seeds, raisins, cranberries (cranberries, apple juice, sunflower oil), Peaches, Raisins (Raisins, Sunflower Oil). No GMOs***"".",Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix are recalled due to undeclared milk.,"Green Valley Group, LLC",Class I,Terminated,Voluntary: Firm initiated,"Idaho, Illinois, Oregon, and Washington","lot numbers are 23122, 23287, 23412, 23520, and 23578.    LOT OTM 23122 expires on 8/11/18.  LOT OTM 23287 expires on 9/19/18.  LOT OTM 23412 expires on 10/19/18.  LOT OTM 23520 expires on 11/16/18.  LOT OTM 23578 expires on 12/1/18.",Eugene,OR,United States,20180719,20180815
F-2016-2014,El Original pa' ya To Go by hot pandeyuca brand   Cheese Bread Pan de Queso Grande,"During an FDA inspection, it was discovered that the label of several products failed to declare the components ingredients of a butter flavor that included allergens FD&C Yellow #5, FD&C Yellow #6 and FD&C Red #40.",Hot Pandeyuca & Company Inc,Class II,Terminated,Voluntary: Firm initiated,FL and NC  Panama,Lot Codes 001 - 090,Hialeah,FL,United States,20140321,20140618
F-1306-2019,"Samira Food Products Vegeterian 100% Soy Chunk, Net Wt. 8oz",Failure to declare sulfites.,Traders West Inc,Class II,Terminated,Voluntary: Firm initiated,Domestic distribution only.,No lot or batch number.,Medley,FL,United States,20190328,20190501
F-1760-2013,"El Campestre Brand Ceviche Mixto, 2/5 lbs bulk containers into 1/10lbs carton.  Packaged in 2/5lbs white plastic buckets with lid and handle, into 1/10lbs carton.    Labeling reads in part:""CEVICHE MIXTO***NET WT..10 LBS***DIST.BY EL CAMPESTRE DIST TEL (562) 505-7247***"".","El Campestre initiated this recall due to the following reason: undeclared allergens: eggs, soy, wheat, and crab extract.",El Campestre,Class I,Terminated,Voluntary: Firm initiated,CA,Product is not coded with lot numbers.    Expiration date 06/01/13,Compton,CA,United States,20130613,20130807
F-2425-2016,"UPC  071725748010,	Sunflower Seeds Roasted and Salted, Best By/Date Code: 11/27/2016.    UPC  007172524140,	Amport Roasted and Salted Sunflower Seeds, Best By/Date Code:11/26/2016.    639277348319,Naturally Select  Roasted and Salted Sunflower Seed, Best By/Date Code: 3/1/2017.    UPC  071725241351,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/3/2016,12/26/2016, 12/12/2016 .    UPC 071725748010,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/31/2016,12/26/2016, 1/14/2017 .    UPC 071725241405,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:1/7/2017 .",TreeHouse Foods is recalling products that may be impacted by sunflower seeds  contaminated with Listeria monocytogenes.,Treehouse Foods,Class I,Terminated,Voluntary: Firm initiated,"US: AL, AZ, AR, CA, CO, CT, FL, IL, IN, IA, KS,KY, LA, ME, MD, MA, MI, MN,  MS,  MO, NE, NV, NM, NY, NC,ND, OH, OK, OR, PA,SC, TN, TX, UT, VA, WA, WI, WY.    OUS: HONDURAS, NICARAGUA, CHILE.","Best By/Date Code: 11/26/2016, 11/27/2016, .1/7/2017, 1/14/2017, 3/1/17, 12/31/2016, 12/26/2016, 12/12/2016, 12/3/2016.",Oak Brook,IL,United States,20160503,20161012
F-0625-2014,"Garden-Fresh Anti Pasto Salad Kit,       Product Code  0 11596 65634 2 ,	1/6 lb","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",0 11596 65634 2  = 10/30/2013 - 11/6/2013,Milwaukee,WI,United States,20131030,20131211
F-0358-2022,"Livia One Organic Daily Topical Spray Probiotics;   4 oz. (120 ml)  UPC: 0 30915 10710 5     Recommended use: Topical: Spray affected area 2-5 times daily as needed.     Ingredients: Proprietary probiotic blend in an enzyme enriched substrate:  Lactobacillus-Acidophilus, L. Rhamnosus, L-Salivarius, L. Casei, L-Plantarum, Lactococcus-Lactis, Streptocuccus-Thermophilus, Bifidobacterium-Bifidum, B-Lactus, B-Infantis, B-Breve, B-Longum.  Made with water and a proprietary blend of three organic grasses    Livia Global Inc., Visalia, CA.",Probiotic products contaminated with Pseudomonas aeruginosa .,Livia Global,Class II,Terminated,Voluntary: Firm initiated,xx,"Lot #001005-1, BB 04/2023",Visalia,CA,United States,20211201,20211222
F-0465-2015,"Mama Tere Arepa de Blanca de Maiz White Corn Patty 14.1 oz/400g   5 units Product of Colombia Importado Por: Family Food Distributors, Inc. 969 Newark Turnpike, Kearny, NJ 07032  UPC 812828011676","Mama Tere Arepa de Moto, de Chocolo and and de Blanca de Maiz were found to be mislabeled.","Family Food Distributors, Inc.",Class II,Terminated,Voluntary: Firm initiated,"CT, IL, MD, NJ, NY,  & PA",None.,Kearny,NJ,United States,20140826,20141112
F-0559-2020,"GREY GHOST BAKERY scratch-made cookies LEMON SUGAR NET WT 1.4 OZ (40 G), UPC 8 53152 00308 1 , 4 OZ (113 G) UPC 8 53152 00332 6 & 8 OZ (225 G) UPC 8 53152 00307 4 GREY GHOST BAKERY 1750 SIGNAL POINT RD, STE 2A CHARLESTON, SC 29412",The product contains undeclared sulfites.,TFI Holding dba Grey Ghost Bakery,Class II,Ongoing,Voluntary: Firm initiated,"Product was shipped to the following states: AL, AR, AZ, CA, CO, CT, DC, DE, FL GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI & WY.","1612019, 1622019, 1632019, 1752019, 1772019, 1782019, 1802019, 1822019, 1892019, 1912019, 1962019, 1972019, 1982019, 2042019, 2052019, 2062019, 2082019, 2112019, 2132019, 2142019, 2192019, 2212019, 2252019, 2272019, 2282019, 2312019, 2332019, 2412019, 2542019, 2552019, 2572019, 2632019, 2682019, 2692019, 2712019, 2742019, 2752019, 2762019, 2772019, 2782019, 2822019, 2882019, 2912019, 2922019, 2952019, 2962019, 2972019, 3042019, 3062019, 3082019, 3102019, 3122019, 3172019, 3192019, 3212019, 3252019, 3282019, 3302019, 3362019, 3372019, 3382019, 3452019.",Charleston,SC,United States,20191217,20200115
F-0910-2022,"Woody's Smokehouse brand Yogurt Raisins, 12.3 oz. (348g), clear plastic bag with front and back labels, UPC 0 95248 65531 0. Packed especially for Woody's Smokehouse Inc., Centerville, TX 75833, 903-536-9663, Woody's-Smokehouse.com  Texas Best Smokehouse brand Yogurt Raisins, 8 oz. (226g), clear plastic bag with front and back labels, UPC 0 95248 32055 3. Packed especially for: Texas Best Smokehouse, 3302 S Eastman Rd., Longview TX 75602.  Snack-Worthy brand Yogurt Raisins, 10 oz. (283g), clear plastic tub with front and back labels, UPC 8 79114 00668 3. Distributed by Lehi Valley Trading Company, Mesa, AZ 85215 snackworthy.com.",Bags and tubs of yogurt covered raisins contained undeclared  peanuts.,"Lehi Valley Trading Co, Inc",Class I,Terminated,Voluntary: Firm initiated,Nationwide.,"Woody's Smokehouse - Lot Code: 222447, Best by: August 23, 2022 Texas Best - Lot Code: 222456, August 23, 2022 Snack Worthy - Lot Code: 222268, 09/12/22",Mesa,AZ,United States,20220211,20220406
F-0829-2023,Revolution Farms Zesty Southwest 6oz salad kit in plastic container UPC 856791008240,Listeria monocytogenes,Caledonia Facility of Revolution Farms LLC,Class I,Terminated,Voluntary: Firm initiated,"MI, OH, WI",Sell By 3/23/23,Caledonia,MI,United States,20230405,20230517
F-0377-2021,Kareem Chef Halva 1lb and 2lb sizes in plastic tub,Salmonella,KAREEM MART INC,Class I,Terminated,Voluntary: Firm initiated,"The recalled  Halva  were distributed through Mediterranean food stores and wholesalers in Michigan, Illinois, Missouri, New York, Ohio, North Carolina and  Pennsylvania.  Between March 2020 to Feb 2021.",Best Before 07-01-2022,Garden City,MI,United States,20210308,20210407
F-1267-2019,Commercial Breader Batter;  B56666 BREADER   X1;       50 pound bag,Corn flour which may contain small pieces of plastic.,Newly Weds Foods Inc,Class II,Terminated,Voluntary: Firm initiated,Commercial processors in:  ALABAMA  ARKANSAS  FLORIDA  GEORGIA  ILLINOIS  MASSACHUSETTS  MISSISSIPPI  NEBRASKA  NEW JERSEY  NORTH CAROLINA  NORTH DAKOTA  OKLAHOMA  TEXAS  WISCONSIN,NWF Product # B56666;  Lot: CD032119B,Chicago,IL,United States,20190322,20190417
