date,null_rate,row_count,avg_completeness,schema_fields,source,is_anomaly,anomaly_score
2026-03-01,0.055,4379,0.6356,210,pipeline,False,-0.2106
2026-03-02,0.0486,4870,0.6444,210,pipeline,False,-0.143
2026-03-03,0.0565,4497,0.6168,210,pipeline,False,-0.1811
2026-03-04,0.0652,4288,0.6141,210,pipeline,False,-0.1647
2026-03-05,0.0477,4664,0.6744,210,pipeline,False,-0.1861
2026-03-06,0.0477,4255,0.6907,210,pipeline,False,-0.178
2026-03-07,0.0658,4541,0.6478,210,pipeline,False,-0.1965
2026-03-08,0.0577,4108,0.6801,210,pipeline,False,-0.1468
2026-03-09,0.0453,4234,0.6608,210,pipeline,False,-0.2121
2026-03-10,0.0554,4539,0.6306,210,pipeline,False,-0.1997
2026-03-11,0.0454,4647,0.6608,210,pipeline,False,-0.201
2026-03-12,0.42,4534,0.6961,210,pipeline,True,0.031
2026-03-13,0.38,4476,0.6489,210,pipeline,True,0.0065
2026-03-14,0.0309,4439,0.6969,210,pipeline,False,-0.1277
2026-03-15,0.0328,4204,0.5714,210,pipeline,False,-0.0813
2026-03-16,0.0444,4356,0.6747,210,pipeline,False,-0.1991
2026-03-17,0.0399,4407,0.6526,210,pipeline,False,-0.2141
2026-03-18,0.0531,1200,0.641,210,pipeline,False,-0.0121
2026-03-19,0.0409,800,0.6528,210,pipeline,True,0.0177
2026-03-20,0.0359,4147,0.5904,210,pipeline,False,-0.118
2026-03-21,0.0647,4564,0.6434,210,pipeline,False,-0.1962
2026-03-22,0.0477,4422,0.6607,210,pipeline,False,-0.2194
2026-03-23,0.0507,4364,0.6943,215,pipeline,False,-0.0705
2026-03-24,0.0358,4622,0.6345,215,pipeline,False,-0.0748
2026-03-25,0.0446,4706,0.35,215,pipeline,True,0.0733
2026-03-26,0.0511,4686,0.4,215,pipeline,True,0.0323
2026-03-27,0.0385,4332,0.6775,215,pipeline,False,-0.0752
2026-03-28,0.0538,4438,0.6599,215,pipeline,False,-0.0948
2026-03-29,0.044,4566,0.6341,215,pipeline,False,-0.0987
2026-03-30,0.0471,4695,0.6654,215,pipeline,False,-0.0976
