recall_number,product_description,reason_for_recall,recalling_firm,classification,status,voluntary_mandated,distribution_pattern,code_info,product_type,city,state,country,recall_initiation_date,center_classification_date,report_date,event_id
F-1519-2013,Trophy Nut Brand 1.5 oz. Red Pistachio Tube and Nut Barrel Brand 1.25 oz. Red Pistachio Tube.,"The product is being recalled because it was manufactured using pistachios recalled by Setton Pistachios of Terra Bella, CA because it has the potential to be contaminated with Salmonella.",Trophy Nut Co Inc,Class I,Terminated,Voluntary: Firm initiated,"Distributed nationwide, including the states of: CA, IL, IN, MD, MI, MN, NC, ND, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, VT, and VI.",Trophy Nut Brand 1.5 oz. Red Pistachio Tube UPC 74249-50779 Code Date 08/16/2009 thru 10/27/2009 and Nut Barrel Brand 1.25 oz. Red Pistachio Tube UPC 74249-27779 Code Date 8/16/2009 thru 10/6/2009.,Food,Tipp City,OH,United States,20090407,20130610,20130619,51894
F-1041-2016,"The product is labeled as follows: PediaSure Grow & Gain Vanilla, Unit size : 8 oz. , Container description : Metal Can, Total package size : 24 cans per case .","Abbott Nutrition is recalling PediaSure Grow & Gain Vanilla is product because the product may have a different color, smell, taste or texture  inconsistent with other lots of PediaSure Grow & Gain Vanilla.     Abbott Nutrition  also recognized a complaint trend for physical stability and sensory on this batch on 1/25/16 and an investigation revealed a possibility that a small portion of cans may",Abbott Nutrition,Class II,Terminated,Voluntary: Firm initiated,"Lot 57642RA00,  Beginning Date of distribution in US  10/12/15  End Date of distribution in US- 12/4/15 .      AN distributed this lot to151 Distributors, 32 Medical Facilities and 25 Other types of consignees (2 of these were internal sales reps).    No foreign accounts.      There are 12 US government consignees.","List Number 55897  , Lot 57642RA00",Food,Altavista,VA,United States,20160310,20160406,20160413,73499
F-0364-2022,"Joy's Gourmet Blast Off! Bloody Mary Mix, Net Wt. 24 Oz",Undeclared Fish and Soy,"Joy's International Foods, Incorporated",Class II,Terminated,Voluntary: Firm initiated,Domestic distribution only.,08182023,Food,Melbourne,FL,United States,20211213,20220106,20220112,89230
F-2807-2015,"Foil bags containing 2.2 lbs. each of pineapple flavored powder and sold under the Boba Direct, Inc. brand.",Bubble tea powders contain undeclared allergens.,"Boba Direct, Inc.",Class II,Terminated,Voluntary: Firm initiated,"US: IL, MO, OH, FL, and TN",Product code: PinePwdr-BD; All lots,Food,Mundelein,IL,United States,20130109,20150707,20150715,64079
F-2351-2017,"Ravioli  Orso. Product is made refrigerated.    Product is packaged in plastic containers. The plastic containers are marked on the side of the container with the customer name (middle top), date of production (bottom left), and weight of product in lbs (bottom right). Some containers have Alaska Pasta written on them.     Product is not packaged for retail and weights vary depending on orders.","Undeclared soy lecithin. The firm used Canola oil cooking spray, which contains soy lecithin, in the manufacture of product but soy or soy lecithin is not declared on finished product label.",Alaska Pasta Company,Class II,Terminated,Voluntary: Firm initiated,distributed in AK only.,No lot codes.  The date of production is marked on the side of the plastic container.,Food,Anchorage,AK,United States,20170522,20170607,20170614,77356
F-0988-2022,"Item # 721-1000, Krusteaz Belgian Waffle Mix.  Product is shelf stable and packaged in a box. net wt. 28 oz., UPC 0 41449 00186 9.",foreign materials,Continental Mills (Corporate Office),Class II,Terminated,Voluntary: Firm initiated,nationwide,Lot code KX2064 and KX2065; Best by 3/4/24 and 3/5/24,Food,Tukwila,WA,United States,20220310,20220408,20220420,89789
F-2196-2014,"Country Life TARGET MINS CALCIUM MAGNESIUM With Vitamin D3 Complex, WILD BLUEBERRY FLAVOR, LIQUID Dietary Supplement, 16 FL. OZ. (1 PINT) (472 mL), Product No. 2523, Bar Code 015794025238, and 32 FL. OZ. (1 QT) (944 mL), Product No. 2522, Bar code 015794025221 --- Manufactured for Country Life, LLC 180 Vanderbilt Motor Parkway, Hauppauge, NY 11788",The affected lots do not meet quality standards due to insoluble particulates.,Country Life,Class II,Terminated,Voluntary: Firm initiated,Nationwide and Kenya,"Code 2523: Lot 1112H6-G16 (16 fl. oz), Code 2522: Lot 1112H6-G32 (32 fl. oz.)",Food,Hauppauge,NY,United States,20140619,20140721,20140730,68597
F-1197-2023,S04380	BEEF RUB                    X1	50.00	BAG,Products may contain Salmonella,"Newly Weds Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"ALABAMA, ARKANSAS, CALIFORNIA, COLORADO, FLORIDA, GEORGIA, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MICHIGAN, MINNESOTA, MISSISSIPPI, MISSOURI, MONTANA, NEBRASKA, NEW JERSEY, NEW YORK, NORTH CAROLINA, OHIO, OKLAHOMA, OREGON, PENNSYLVANIA, TENNESSEE, TEXAS ,WISCONSIN.  CANADA.",YE674634 YE674635,Food,Chicago,IL,United States,20230526,20230705,20230712,92423
F-0832-2023,Fresh From Meijer Chicken Cobb Salad 8.8 Oz UPC - 719283679321,Listeria monocytogenes,Meijer Inc,Class I,Terminated,Voluntary: Firm initiated,"Meijer stores in Michigan, Indiana, Illinois, Ohio, Kentucky, and Wisconsin",Sell by 3/19/2023 to 3/28/2023,Food,Grand Rapids,MI,United States,20230405,20230509,20230517,92119
F-0316-2018,"Dark Chocolate Almond Bark 10 oz.,10 lbs.","GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.","GKI Foods, LLC",Class II,Terminated,Voluntary: Firm initiated,"Domestic: MI, IN, IL, FL, TX, CA., NV, OR, NH, NY, NJ, VA, WI, KY, DE, PA, CT, PR, OH, RI, IA,",All products manufactured between 01/14/16 to 10/24/17; Lots: Lot# 01916B  Lot# 04216  Lot# 08916  Lot# 10216  Lot# 13216B  Lot# 16016B  Lot# 19316B  Lot# 19416B  Lot# 22316  Lot# 26016  Lot# 26316  Lot# 30516  Lot# 30616  Lot# 30616  Lot# 27516B  Lot# 31416  Lot# 32016  Lot# 35416B  Lot# 35516  Lot# 10817B  Lot# 11617  Lot# 11617  Lot# 12917  Lot# 15917  Lot# 17117  Lot# 19317  Lot# 19417  Lot# 21917B  Lot# 23417  Lot# 27617B  Lot# 27917    Lot# 04216  Lot# 08216B  Lot# 08216B  Lot# 10216  Lot# 10216B  Lot# 13216B  Lot# 13816  Lot# 20916  Lot# 20916  Lot# 22316  Lot# 22316  Lot# 25616B  Lot# 25816  Lot# 25816B  Lot# 25916  Lot# 25916B  Lot# 26016  Lot# 27516B  Lot# 30616  Lot# 33516  Lot# 34916  Lot# 35016  Lot# 01817  Lot# 02317  Lot# 04617  Lot# 19417  Lot# 19417  Lot# 19517  Lot# 19817  Lot# 19917  Lot# 20117  Lot# 20517    Lot# 08216B  Lot# 08916    Lot# 00616B  Lot# 01916B  Lot# 06016  Lot# 08216B  Lot# 10216B  Lot# 10216B  Lot# 13216B  Lot# 13816  Lot# 13816  Lot# 16016B  Lot# 18016  Lot# 18116  Lot# 20016  Lot# 20716B  Lot# 20916  Lot# 23516  Lot# 23916  Lot# 27516B  Lot# 32016  Lot# 33516  Lot# 33516  Lot# 34916  Lot# 35016  Lot# 35516  Lot# 35516B  Lot# 05517  Lot# 05917B  Lot# 06217  Lot# 06517  Lot# 06517  Lot# 09417  Lot# 09417  Lot# 10817B  Lot# 12917  Lot# 15917  Lot# 18617  Lot# 19317  Lot# 20517  Lot# 21217B  Lot# 21917B  Lot# 23417  Lot# 24817  Lot# 25117  Lot# 26517B    Lot# 04216  Lot# 05616  Lot# 06016  Lot# 19416B  Lot# 19516  Lot# 20016  Lot# 22316B  Lot# 23316  Lot# 23516  Lot# 26416B  Lot# 27516B  Lot# 34916  Lot# 35016  Lot# 01317  Lot# 01817  Lot# 02317  Lot# 05517  Lot# 09417  Lot# 17117  Lot# 18617  Lot# 26517B  Lot# 27917  Lot# 29217    Lot# 26316  Lot# 24817  Lot# 25017,Food,Brighton,MI,United States,20171027,20171117,20171129,78405
F-0609-2019,"Ukrop's Cuban Style Sub,  NET WT 8.3 OZ (235g),   UPC 72251525152",The products may have come into contact with equipment used to process the country ham the supplier recalled for Listeria monocytogenes.,"Ukrop's Homestyle Foods, LLC",Class I,Terminated,Voluntary: Firm initiated,"Product was shipped to 5 different states:  Virginia, West Virginia, Kentucky, Ohio, Tennessee.    Retailer List  The Kroger Co.  VA, WV, TN, KY, OH  Harris Teeter  VA only  Publix  VA only  Hudson News  VA only  Ukrops Catering  VA only",125152,Food,North Chesterfield,VA,United States,20181004,20181113,20181121,81226
