recall_number,recall_description,recalling_firm,classification,reason,matched_product_code,matched_product_name,matched_source,match_score
F-1594-2024,"Marco Turkish Mocha Ice Cream 16 fl oz/1 pint, UPC 860001992885. Packaged in paper containers, 8 containers per case.","Totally Cool, Inc.",Class II,Possible contamination with Listeria monocytogenes,2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",usda,42.4
F-0583-2019,"JY Spiderman Ice Cream, 3 gallons",Working Cow Homemade Inc.,Class I,Products may be contaminated with  Listeria monocytogenes.,9800895007,Hazelnut Spread with Cocoa,off,43.7
F-2441-2014,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",Dole Fresh Vegetables Inc,Class I,Green Walnuts from a tree dropped into spinach as it was being tractored away from the harvested field. Walnuts were discovered on the Dole spinach processing line,2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA",usda,41.0
F-1182-2015,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",Numbskull LLC,Class I,The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,47.3
F-1796-2013,"individual 2 oz chocolate macaroons packaged in plastic wrapper labeled as "" Jennies DUTCH CHOCOLATE MACAROON, 2 oz. Red Mill Farms, Inc., Brooklyn, NY"".",Red Mill Farms,Class II,A recall was initiated as a result of an undeclared sugar ingredient in the labeling used for Jennies' Dutch Chocolate Macaroons.,1999231,"COCA-COLA FLAVORED MINTS, COCA-COLA",usda,46.8
F-2473-2016,"1.5 oz PEANUT BUTTER COOKIES, 80/case","Savory Foods, Inc.",Class I,Savory Foods Inc. has initiated a voluntary recall due to the potential for contamination with Listeria monocytogenes.,1460082,CHIPS AHOY! COOKIES 1X1.55 OZ,usda,55.6
F-1804-2018,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",Sugar Foods Corporation Inc,Class II,Recalled whey powder was used in further production of numerous food products.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,47.4
F-1105-2014,"UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.","Global Health Laboratories, LLC",Class II,"The finished dietary supplement product was manufactured with ingredients subsequently found to be contaminated with chloramphenicol, an antibiotic, at levels above 0.3 ppb.  The supplier, Specialty E",2506892,"OREO VANILLA PUDDING WITH OREO COOKIE PIECES, OREO",usda,41.9
H-0389-2026,"Shrimp Paste (Klong Kone) 'M' ,  16 oz, 24 count , PLastic Jar,  24 packages/ case","GUSTO GROUP, INC.",Class II,Product tested high for lead.,2695835,"Prego Mushroom Pasta Sauce, 14 oz Jar",usda,50.4
F-0678-2024,MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,"TGD Cuts, LLC",Class I,Potential Salmonella Contamination,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,45.1
F-0020-2015,"CST Roma Tomatoes Whole Roma 1/25#  Origin: USA  Keep Refrigerated   UPC: 40000356942  Taylor Farms, Pacific, Tracy, CA 95376",Taylor Farms Pacific Inc. (MacArthur Facility),Class I,"Firm was notified by supplier that specific lots of ""expo fresh"" Roma tomatoes may be contaminated with Salmonella.",2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,40.0
F-1333-2024,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",Danisco USA Inc.,Class I,Potential Salmonella Contamination,1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,usda,42.9
F-3116-2017,"A96555, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Newly Weds Foods Inc,Class II,Product may contain undeclared milk.,2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,46.8
F-0655-2013,"""Alcapurria Jueyes"" (Crab-filled fritters) - Food Service","Fabrica Confecciones Soto, Inc.",Class II,"Undeclared allergens: wheat, soy, crustacean shellfish (crab), and yellow #5",44000032159,Ritz Bits Cheese Cracker Sandwiches,off,43.3
F-1215-2019,"JOY GOL-GAPPA (PANI PURI) MASALA CONCENTRATE, NET WT 8 OZ (228g), UPC: 6 80617 60414 5",JOY GOURMET FOODS LLC,Class II,Product contains undeclared sulfites.,2600632,"ASPARAGUS RAGU MAFALDA PASTA WITH ASPARAGUS IN A RICH RAGU SAUCE, ASPARAGUS RAGU",usda,40.6
F-0456-2018,Dark Chocolate Almond Bark 5oz &1lb Clear plastic tubs,NUTCO Inc. dba Germack Pistachio Co.,Class II,Germack Roasting  is voluntarily recalling its Dark Chocolate Almond Bark following a supplier's recall due to undeclared allergen milk.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,45.3
F-1065-2013,"POMEGRANATE DRINK  MIX.  Yoruk Prens Nar Net 400 g.  USA Distributor:  Ethnic Int. Holding Inc. 4 Corporate Drive, Cranbury, NJ 08512.  Tel. 609-395-8513.  Picture of pomegranate on label.",Ethnic International Holding Inc,Class II,"Yoruk Prens brand drink mix flavored Apple, Orange, Pomegranate, Cinnamon and Rosehip.  We were informed that these products include some colorants, which are not allowed to use in the USA as per a Ne",2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,41.8
F-1928-2016,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",Nu Life Market LLC,Class I,Product manufactured with roasted sunflower kernels which may be contaminated with Listeria monocytogenes.,2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA",usda,51.4
F-0431-2017,"Hot Pepper Cheese, forty-five 40 lb. blocks","Farm Country Cheese House, Inc.",Class II,Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to inadequate pasteurization.,2675215,"KRAFT, SHARP CHEDDAR CHEESE",usda,45.4
F-0597-2020,"Rachael's brand and Big Y brand Protein Snack Packs; containing one hard boiled egg, diced roasted turkey, and roasted almonds; packaged in 6x6 plastic containers, Net. wt. 4.25 oz.",Rachael's Food Corporation,Class I,Product may be contaminated with Listeria monocytogenes.,1999231,"COCA-COLA FLAVORED MINTS, COCA-COLA",usda,43.0
F-1039-2023,A53643	BREADER   X1	50.00	BAG,"Newly Weds Foods, Inc.",Class I,Products may contain Salmonella,3400704,Ice Breakers Cool Mint,off,40.5
F-0801-2025,New England Village Snacks The 19th Hole Snack Mix (5 oz. and 10 oz.),"Better Business...Better Foods, Inc.",Class II,Contains undeclared almonds & undeclared sesame,2675215,"KRAFT, SHARP CHEDDAR CHEESE",usda,40.8
F-0459-2023,"Bistro To Go, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated","FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",Class I,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the p",2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,45.7
F-0857-2016,HSRG Cornmeal Breader NET WT 25 LB (11.33 kg),"C. H. Guenther & Son, Inc.dba Morrison Milling",Class III,May contain small metal fragments from wire mesh sifter.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,43.3
F-1759-2018,"Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix consisting of chocolate chips, fruit, seeds, and nuts.      Product packaged in a cardboard box with a liner bag, net wt. 20 lbs., and was distr","Green Valley Group, LLC",Class I,Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix are recalled due to undeclared milk.,1999231,"COCA-COLA FLAVORED MINTS, COCA-COLA",usda,45.6
F-2016-2014,El Original pa' ya To Go by hot pandeyuca brand   Cheese Bread Pan de Queso Grande,Hot Pandeyuca & Company Inc,Class II,"During an FDA inspection, it was discovered that the label of several products failed to declare the components ingredients of a butter flavor that included allergens FD&C Yellow #5, FD&C Yellow #6 an",1662005,"KRAFT, SHAVED PARMESAN CHEESE",usda,47.1
F-1306-2019,"Samira Food Products Vegeterian 100% Soy Chunk, Net Wt. 8oz",Traders West Inc,Class II,Failure to declare sulfites.,2506892,"OREO VANILLA PUDDING WITH OREO COOKIE PIECES, OREO",usda,44.0
F-1760-2013,"El Campestre Brand Ceviche Mixto, 2/5 lbs bulk containers into 1/10lbs carton.  Packaged in 2/5lbs white plastic buckets with lid and handle, into 1/10lbs carton.    Labeling reads in part:""CEVICHE MI",El Campestre,Class I,"El Campestre initiated this recall due to the following reason: undeclared allergens: eggs, soy, wheat, and crab extract.",2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,40.9
F-0625-2014,"Garden-Fresh Anti Pasto Salad Kit,       Product Code  0 11596 65634 2 ,	1/6 lb","Garden-Fresh Foods, Inc.",Class I,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,40.3
F-0358-2022,Livia One Organic Daily Topical Spray Probiotics;   4 oz. (120 ml)  UPC: 0 30915 10710 5     Recommended use: Topical: Spray affected area 2-5 times daily as needed.     Ingredients: Proprietary probi,Livia Global,Class II,Probiotic products contaminated with Pseudomonas aeruginosa .,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,41.0
F-0465-2015,"Mama Tere Arepa de Blanca de Maiz White Corn Patty 14.1 oz/400g   5 units Product of Colombia Importado Por: Family Food Distributors, Inc. 969 Newark Turnpike, Kearny, NJ 07032  UPC 812828011676","Family Food Distributors, Inc.",Class II,"Mama Tere Arepa de Moto, de Chocolo and and de Blanca de Maiz were found to be mislabeled.",2695835,"Prego Mushroom Pasta Sauce, 14 oz Jar",usda,44.3
F-0559-2020,"GREY GHOST BAKERY scratch-made cookies LEMON SUGAR NET WT 1.4 OZ (40 G), UPC 8 53152 00308 1 , 4 OZ (113 G) UPC 8 53152 00332 6 & 8 OZ (225 G) UPC 8 53152 00307 4 GREY GHOST BAKERY 1750 SIGNAL POINT R",TFI Holding dba Grey Ghost Bakery,Class II,The product contains undeclared sulfites.,1460082,CHIPS AHOY! COOKIES 1X1.55 OZ,usda,42.6
F-0910-2022,"Woody's Smokehouse brand Yogurt Raisins, 12.3 oz. (348g), clear plastic bag with front and back labels, UPC 0 95248 65531 0. Packed especially for Woody's Smokehouse Inc., Centerville, TX 75833, 903-5","Lehi Valley Trading Co, Inc",Class I,Bags and tubs of yogurt covered raisins contained undeclared  peanuts.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,44.9
F-0829-2023,Revolution Farms Zesty Southwest 6oz salad kit in plastic container UPC 856791008240,Caledonia Facility of Revolution Farms LLC,Class I,Listeria monocytogenes,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,43.6
F-0377-2021,Kareem Chef Halva 1lb and 2lb sizes in plastic tub,KAREEM MART INC,Class I,Salmonella,30000436073,"Granola Oats with Honey, Raisins, and Almonds",off,44.6
F-0243-2017,"OSSIE'S PICKLED LOX & CREAM, NET WT. 8 OZ., UPC 739885104113; -- Far Rockaway, NY 11691 --- The product is packed in a plastic deli tub.",SM Fish Corp.,Class I,The products have the potential to be contaminated with Listeria monocytogenes based on the findings of the bacteria in the plant via FDA environmental sampling plus the district's inspectional findin,2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA",usda,40.2
F-1308-2017,"Gourmet Cocoa Supreme, CP302141-12, NET WT. 12 LBS",Dutch-American Foods Inc,Class II,Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,45.2
F-0428-2017,"White Cheddar Cheese, 40 lb. blocks","Farm Country Cheese House, Inc.",Class I,Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to potential contamination with Listeria monocytogenes.,2675215,"KRAFT, SHARP CHEDDAR CHEESE",usda,48.6
F-0259-2013,#234 Bulk Watermelon	234	2.5 pounds  and #050 Watermelon Tray	16 ounces,Spartan Central Kitchen,Class II,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Li",2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",usda,40.6
F-0543-2025,1. Chocolate Drizzled Birthday Cake Granola Bars 	25.5oz (30 bars) 2. Chocolate Drizzled Birthday Cake Granola Bars	4.2oz (5 bars) 3. Chocolate Drizzled Birthday Cake Granola Bars	17oz (20 bars) 4. Ch,"Riverside Natural Foods, Ltd.",Class II,may contain metal pieces,1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,usda,40.0
F-2992-2017,"B4016W, 910277 Breader, NET WT 40 LBS, Manufactured By:  Newly Weds Foods, Inc., Chicago, IL 60639",Newly Weds Foods Inc,Class II,Product may contain undeclared milk.,2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,40.9
F-1727-2019,"DANNON OIKOS TRIPLE ZERO GREEK VANILLA - 5.3OZ/4PK, UPC: 3663201953","C & S Wholesale Grocers, Inc.",Class II,Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,2506892,"OREO VANILLA PUDDING WITH OREO COOKIE PIECES, OREO",usda,40.8
F-1757-2012,"Kit item #30699-76, includes Mozzarella Sticks, 2.25 oz, 12bags/kit; Cheddar Bacon Skins, 3oz, 24 bags/kit; and Sour Cream & Onion Skins 3oz, 12bags/kit.    kit item#30679-11, 30679-12, and 30679-13, ",Inventure Foods,Class II,Inventure Foods Inc. is recalling mozzarella sticks and onion rings because there may be a chance that there are tiny metal particles in their seasoning.,1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,usda,40.0
F-1994-2017,"French's Crispy Jalapenos Net Wt. 5 oz. (141.7g), UPC 0 41500 95309 0, French's Food Company.","The French's Food Company, LLC SUBS Reckitt Benckiser",Class II,Product may contain foreign objects: rocks and metal fragments.,2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA",usda,41.0
F-2232-2016,"Pictsweet(R) Seasoned Summer Vegetables, NET WT 12 OZ. (340g), DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38305, UPC 7056097622",The Pictsweet Company,Class I,"Possible Listeria Monocytogenes contamination in bulk vegetables supplied by CRF Frozen Foods, LLC used in manufacturing several Pictsweet products.",2695835,"Prego Mushroom Pasta Sauce, 14 oz Jar",usda,45.6
F-1745-2017,"Luqman Cheese, White Cheddar, Net Wt. 8 oz.., Distributed by: Cumberland Valley Creamery, Mechanicsburg, PA","Cumberland Valley Creamery, LLC",Class II,Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,2675215,"KRAFT, SHARP CHEDDAR CHEESE",usda,43.4
F-0827-2013,Garden Fresh Gourmet Nacho Cheese Tortilla Chips  14oz bags,"Garden Fresh Salsa, Inc.",Class III,Beginning 11/01/2012 Garden Fresh Gourmet recalled Garden Fresh Nacho Cheese Tortilla chips (exp 11/26/2012) because quality standards of ingredients used in the products were not met.,1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,usda,46.3
F-0848-2024,GRANDE     1.5OZ FRESH BOCCONCINI MOZZ 1/3#         SUPC/ITEM # 19132P,Greco Sidari,Class II,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,43.5
F-1204-2014,"Reser's Tuna Salad Supreme, Formula PT.137 packaged in 2/5-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117141382","Reser's Fine Foods, Inc.",Class I,The recalled products are potentially contaminated with Listeria monocytogenes.,2600632,"ASPARAGUS RAGU MAFALDA PASTA WITH ASPARAGUS IN A RICH RAGU SAUCE, ASPARAGUS RAGU",usda,44.0
F-0136-2017,"MINI DEEP DISH MUSHROOM PIZZA, 200 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",Kabobs Inc,Class II,Product was manufactured with flour recalled due to E. coli O121 contamination.,1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,usda,40.0
F-1050-2016,"Blue Ridge Farms Macaroni Salad; 05021  Net Weight: 1 X 10 LB., Keep Refrigerated; Use by: 03/14/16; Lot # 430;   Packed by Winter Gardens Quality Foods, Inc, New Oxford, PA 17350","Winter Gardens Quality Foods, Inc.",Class II,The supplier of the salad oil used in the above product(s) has voluntarily recalled this raw material due to the potential presence of foreign material.  Winter Gardens is continuing this voluntary re,2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA",usda,40.0
F-0526-2018,"Dark Chocolate Pecans Net Wt. 7 oz, Farrell Farms, 200 Gin Road, Goldsboro, NC","Farrell Farms, Inc",Class I,Undeclared allergen: Milk,2016665,"ACADEMIA BARILLA, FARFALLE BARILLA PASTA",usda,45.3
F-0559-2014,"Finest Traditions Garden Vegetable Spaghetti, Product Code 10 733147 10196 1,	1/8 lb","Garden-Fresh Foods, Inc.",Class I,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",2506892,"OREO VANILLA PUDDING WITH OREO COOKIE PIECES, OREO",usda,45.3
F-1554-2017,Cashew Clusters 32 oz,Snak King Corporation,Class I,Snak King is recalling cashew clusters because it may be contaminated with Salmonella.,2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,50.5
F-2021-2016,"Devils Food Sheet Cake 8x12 Mega   28.125 lb case 20, 2  2.5oz cakes per case","Minnie Marie Bakers, Inc. dba Awrey's Bakery",Class I,Products may contain undeclared tree nuts (walnuts).  People who have an allergy or severe sensitivity to tree nuts run the risk of serious or life-threatening allergic reaction if they consume these ,1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,usda,40.0
